iter	Passed	Remaining
806	2387	570
807	2389	567
808	2392	564
809	2395	561
810	2398	558
811	2400	555
812	2402	552
813	2404	549
814	2406	546
815	2408	543
816	2410	539
817	2413	536
818	2415	533
819	2417	530
820	2419	527
821	2422	524
822	2424	521
823	2426	518
824	2429	515
825	2431	512
826	2433	509
827	2435	505
828	2437	502
829	2440	499
830	2442	496
831	2444	493
832	2447	490
833	2449	487
834	2451	484
835	2453	481
836	2456	478
837	2458	475
838	2460	472
839	2463	469
840	2465	466
841	2467	463
842	2469	459
843	2472	456
844	2474	453
845	2476	450
846	2478	447
847	2482	444
848	2486	442
849	2491	439
850	2495	436
851	2499	434
852	2504	431
853	2508	428
854	2511	425
855	2514	422
856	2516	419
857	2518	416
858	2520	413
859	2522	410
860	2525	407
861	2527	404
862	2529	401
863	2531	398
864	2533	395
865	2536	392
866	2538	389
867	2541	386
868	2543	383
869	2545	380
870	2547	377
871	2549	374
872	2551	371
873	2555	368
874	2560	365
875	2564	362
876	2566	359
877	2569	356
878	2571	353
879	2573	350
880	2575	347
881	2579	345
882	2581	342
883	2583	339
884	2586	336
885	2588	333
886	2591	330
887	2593	327
888	2595	324
889	2598	321
890	2600	318
891	2603	315
892	2605	312
893	2607	309
894	2609	306
895	2611	303
896	2614	300
897	2616	297
898	2618	294
899	2620	291
900	2622	288
901	2624	285
902	2626	282
903	2628	279
904	2630	276
905	2632	273
906	2634	270
907	2636	267
908	2638	264
909	2640	261
910	2642	258
911	2644	255
912	2645	252
913	2648	249
914	2650	246
915	2652	243
916	2656	240
917	2658	237
918	2660	234
919	2661	231
920	2663	228
921	2665	225
922	2667	222
923	2669	219
924	2671	216
925	2673	213
926	2675	210
927	2677	207
928	2679	204
929	2681	201
930	2683	198
931	2685	195
932	2687	193
933	2689	190
934	2691	187
935	2693	184
936	2695	181
937	2697	178
938	2699	175
939	2701	172
940	2703	169
941	2705	166
942	2707	163
943	2709	160
944	2711	157
945	2713	154
946	2715	151
947	2717	149
948	2719	146
949	2721	143
950	2723	140
951	2725	137
952	2727	134
953	2729	131
954	2732	128
955	2734	125
956	2735	122
957	2738	120
958	2739	117
959	2741	114
960	2743	111
961	2745	108
962	2747	105
963	2749	102
964	2751	99
